TICKER	DATA PRIMA QUOTAZIONE	DATA ULTIMA QUOTAZIONE	VARIAZIONE PERCENTUALE	PREZZO MINIMO	PREZZO MASSIMO
A	1999-11-18	2018-08-24	109.636%	10.000	99.383
AA	1970-01-02	2018-08-24	508.325%	10.008	99.893
AABA	1996-04-12	2018-08-24	4910.909%	0.646	98.500
AAC	2018-01-16	2018-08-24	4.857%	10.000	9.975
AAL	2005-09-27	2018-08-24	101.140%	1.450	9.990
AAME	1980-03-17	2018-08-24	-29.870%	0.375	9.900
AAN	1987-01-20	2018-08-24	4683.263%	0.481	9.956
AAOI	2013-09-26	2018-08-24	330.422%	10.000	99.980
AAON	1992-12-16	2018-08-24	41348.204%	0.090	9.996
AAP	2001-11-29	2018-08-24	1084.150%	100.020	99.990
AAPL	1980-12-12	2018-08-24	42004.209%	0.196	99.990
AAT	2011-01-13	2018-08-24	85.506%	16.470	46.380
AAV	2004-03-31	2018-08-24	-79.282%	1.870	9.990
AAWW	2005-11-09	2018-08-24	100.161%	10.120	75.290
AAXJ	2008-08-15	2018-08-24	42.589%	22.000	83.520
AAXN	2001-06-07	2018-08-24	11379.861%	0.275	9.990
AB	1988-04-14	2018-08-24	1093.086%	10.000	94.940
ABAC	2010-07-20	2018-08-24	-91.121%	1.510	9.960
ABB	2001-04-06	2018-08-24	39.291%	1.100	9.980
ABBV	2013-01-02	2018-08-24	177.335%	100.000	99.990
ABC	1995-04-04	2018-08-24	2891.069%	10.016	99.960
ABCB	1994-05-19	2018-08-24	846.194%	10.000	9.997
ABCD	2009-12-09	2018-08-24	276.438%	0.580	9.900
ABDC	2014-05-09	2018-08-24	-59.269%	10.000	9.910
ABEO	1997-07-23	2018-08-24	-99.088%	10.000	997.500
ABEV	1997-03-05	2018-08-24	935.556%	0.221	9.296
ABG	2002-03-21	2018-08-24	384.566%	1.600	96.580
ABIL	2014-02-05	2018-08-24	-63.300%	0.323	9.999
