SETTORE	ANNO	VARIAZIONE PERCENTUALE	AZIONE	VARIAZIONE PERCENTUALE	AZIONE	VOLUME

BASIC INDUSTRIES	2009	36.016%	GURE	709.722%	FCX	9141685400.0
	
BASIC INDUSTRIES	2010	28.566%	WWR	319.753%	FCX	6891808600.0
	
BASIC INDUSTRIES	2011	-24.465%	VHI	188.640%	FCX	5150807800.0
	
BASIC INDUSTRIES	2012	2.354%	PATK	261.860%	VALE	4659766700.0
	
BASIC INDUSTRIES	2013	201.537%	XRM	416.928%	VALE	4428233700.0
	
BASIC INDUSTRIES	2014	-82.931%	CENX	134.841%	VALE	5660183200.0
	
BASIC INDUSTRIES	2015	-2.046%	AMWD	100.050%	FCX	7286761300.0
	
BASIC INDUSTRIES	2016	20.355%	TECK	451.791%	FCX	10464699500.0
	
BASIC INDUSTRIES	2017	16.811%	OPNT	310.179%	VALE	7023267600.0
	
BASIC INDUSTRIES	2018	-3.470%	XRM	213.817%	VALE	3710091900.0
	
CAPITAL GOODS	2009	30.273%	DAN	1238.272%	F	19263087300.0
	
CAPITAL GOODS	2010	26.378%	WNC	513.990%	F	23799936100.0
	
CAPITAL GOODS	2011	-11.472%	NEON	171.429%	F	17822274500.0
	
CAPITAL GOODS	2012	19.696%	HOVNP	851.049%	F	11343885200.0
	
CAPITAL GOODS	2013	36.607%	TSLA	325.424%	F	10142466600.0
	
CAPITAL GOODS	2014	5.712%	GRBK	617.850%	F	7863305300.0
	
CAPITAL GOODS	2015	-0.183%	WKHS	384.375%	F	6985340900.0
	
CAPITAL GOODS	2016	19.879%	SID	251.087%	F	8985684000.0
	
CAPITAL GOODS	2017	36.412%	OLED	201.046%	F	9293424500.0
	
CAPITAL GOODS	2018	-1.932%	RFIL	341.509%	F	6925457600.0
	
CONSUMER DURABLES	2009	40.518%	SNBR	2407.692%	GT	1413734100.0
	
CONSUMER DURABLES	2010	12.988%	CDXC	202.222%	GT	1166762400.0
	
CONSUMER DURABLES	2011	-14.578%	NHTC	441.667%	GT	1739413700.0
	
CONSUMER DURABLES	2012	19.709%	HDSN	151.034%	GT	1430966900.0
	
CONSUMER DURABLES	2013	33.497%	SGLB	1184.722%	GT	1069123300.0
	
CONSUMER DURABLES	2014	36.477%	EFOI	995.556%	GT	1005051200.0
	
CONSUMER DURABLES	2015	-9.262%	NHTC	195.940%	GT	869533400.0
	
CONSUMER DURABLES	2016	17.390%	HDSN	169.697%	GPK	925163400.0
	
CONSUMER DURABLES	2017	11.637%	UTSI	188.718%	GPK	958590100.0
	
CONSUMER DURABLES	2018	4.020%	HEAR	1394.382%	GPK	551091500.0
	
CONSUMER NON-DURABLES	2009	35.800%	PPC	1208.823%	KO	5625709800.0
	
CONSUMER NON-DURABLES	2010	21.998%	BREW	202.869%	KO	5183228600.0
	
CONSUMER NON-DURABLES	2011	0.387%	RAVE	187.958%	KO	4589791800.0
	
CONSUMER NON-DURABLES	2012	15.524%	JBSS	136.719%	KO	3797096700.0
	
CONSUMER NON-DURABLES	2013	29.439%	SVU	191.600%	KO	3634684700.0
	
CONSUMER NON-DURABLES	2014	7.068%	MGPI	196.449%	KO	3858442800.0
	
CONSUMER NON-DURABLES	2015	-2.338%	COKE	103.082%	ABEV	3911280500.0
	
CONSUMER NON-DURABLES	2016	8.828%	NBEV	963.365%	ABEV	4179558700.0
	
CONSUMER NON-DURABLES	2017	14.259%	RADA	150.406%	ABEV	5156322400.0
	
CONSUMER NON-DURABLES	2018	7.167%	DFBG	367.000%	ABEV	4241614900.0
	
CONSUMER SERVICES	2009	100.682%	CAR	1649.333%	SIRI	12672061700.0
	
CONSUMER SERVICES	2010	-19.169%	MEET	420.000%	SIRI	21735191400.0
	
CONSUMER SERVICES	2011	11.743%	GLNG	190.333%	SIRI	17869835800.0
	
CONSUMER SERVICES	2012	-31.731%	APDN	250.000%	SIRI	15275868700.0
	
CONSUMER SERVICES	2013	3.784%	GTN	549.782%	SIRI	12603325700.0
	
CONSUMER SERVICES	2014	147.874%	GNUS	4400.000%	SIRI	12759500300.0
	
CONSUMER SERVICES	2015	-50.269%	NRE	5956.411%	CMCSA	7070438800.0
	
CONSUMER SERVICES	2016	61.530%	CECO	209.509%	SIRI	10556346400.0
	
CONSUMER SERVICES	2017	-38.843%	GHG	1337.500%	SIRI	5404165400.0
	
CONSUMER SERVICES	2018	-36.018%	GHG	3720.588%	CMCSA	4253643400.0
	
ENERGY	2009	-6.698%	HOLI	293.771%	GE	29650590200.0
	
ENERGY	2010	45.276%	TGA	364.244%	GE	18204141200.0
	
ENERGY	2011	11.988%	COG	97.348%	GE	16133296700.0
	
ENERGY	2012	-20.095%	SUN	5751.163%	GE	11459611600.0
	
ENERGY	2013	26.800%	PLUG	210.000%	GE	9595660400.0
	
ENERGY	2014	-49.859%	PSXP	86.046%	GE	7967431000.0
	
ENERGY	2015	-53.856%	CPE	55.019%	GE	13212011000.0
	
ENERGY	2016	-4.986%	ARCH	8476.923%	CHK	11654332900.0
	
ENERGY	2017	-69.662%	JAG	2486.885%	GE	11573121700.0
	
ENERGY	2018	8.484%	LGCY	235.443%	GE	12264436100.0
	
FINANCE	2009	19.082%	XL	371.208%	BAC	83658926600.0
	
FINANCE	2010	175.184%	MBI	185.476%	BAC	47617435100.0
	
FINANCE	2011	86.494%	PYDS	400.000%	BAC	53645519700.0
	
FINANCE	2012	-20.973%	SNFCA	506.513%	BAC	49413078400.0
	
FINANCE	2013	1097.165%	JRJC	403.200%	BAC	30119577900.0
	
FINANCE	2014	-57.267%	PYDS	157.143%	BAC	21534168200.0
	
FINANCE	2015	-35.183%	YRIV	2933.333%	BAC	21195105700.0
	
FINANCE	2016	-51.567%	LIVE	1382.716%	BAC	27290637600.0
	
FINANCE	2017	-40.254%	SIEB	354.545%	BAC	19795255900.0
	
FINANCE	2018	5.654%	DHCP	609.877%	BAC	11026441500.0
	
HEALTH CARE	2009	121.626%	TTNP	8150.000%	PFE	14077745000.0
	
HEALTH CARE	2010	-7.062%	VBIV	836.440%	PFE	13873171000.0
	
HEALTH CARE	2011	-36.078%	VBIV	631.584%	PFE	12316613800.0
	
HEALTH CARE	2012	5.425%	SRPT	481.081%	PFE	8460311700.0
	
HEALTH CARE	2013	84.989%	BPTH	1150.000%	PFE	9211731000.0
	
HEALTH CARE	2014	-36.147%	PTI	86566.667%	PFE	6577264600.0
	
HEALTH CARE	2015	108.924%	PEN	9864.815%	PFE	7235682100.0
	
HEALTH CARE	2016	-70.680%	IDXG	1000.000%	PFE	7836820000.0
	
HEALTH CARE	2017	20.272%	MRNS	684.615%	RAD	6886704200.0
	
HEALTH CARE	2018	15.646%	TNDM	1410.630%	NVCN	7582018100.0
	
MISCELLANEOUS	2009	339.792%	CREG	1187.500%	EBAY	10146300700.0
	
MISCELLANEOUS	2010	28.676%	NOVT	305.364%	EBAY	9748440400.0
	
MISCELLANEOUS	2011	-46.786%	LQDT	155.187%	EBAY	7316138900.0
	
MISCELLANEOUS	2012	-1.885%	SPB	88.020%	EBAY	6774041300.0
	
MISCELLANEOUS	2013	62.368%	ARTX	249.000%	EBAY	6445216300.0
	
MISCELLANEOUS	2014	9.758%	OMNT	283.333%	EBAY	7378587900.0
	
MISCELLANEOUS	2015	2.766%	SSNT	1041.667%	BABA	4321934600.0
	
MISCELLANEOUS	2016	17.430%	GRVY	224.615%	BABA	3725974300.0
	
MISCELLANEOUS	2017	-0.961%	GRVY	788.993%	BABA	3892314300.0
	
MISCELLANEOUS	2018	44.023%	TRHC	184.923%	BABA	3262795800.0
	
PUBLIC UTILITIES	2009	17.757%	CALL	768.421%	S	12014127300.0
	
PUBLIC UTILITIES	2010	735.656%	EMP	756.911%	S	14099004300.0
	
PUBLIC UTILITIES	2011	452.926%	CLFD	93.639%	S	15011336700.0
	
PUBLIC UTILITIES	2012	-79.722%	NEXT	1657.326%	S	13980623300.0
	
PUBLIC UTILITIES	2013	-14.184%	DZSI	1036.170%	S	10293283900.0
	
PUBLIC UTILITIES	2014	30.883%	SUNW	490.000%	T	6222016300.0
	
PUBLIC UTILITIES	2015	630.904%	PAM	115.861%	T	7123702100.0
	
PUBLIC UTILITIES	2016	104.612%	VST	434.483%	T	5939393300.0
	
PUBLIC UTILITIES	2017	-32.817%	OHGI	418.518%	T	6355711500.0
	
PUBLIC UTILITIES	2018	105.826%	ELC	350309.828%	T	5700827400.0
	
SECTOR	2009	0.000%	None	-inf%	None	0
	
SECTOR	2010	0.000%	None	-inf%	None	0
	
SECTOR	2011	0.000%	None	-inf%	None	0
	
SECTOR	2012	0.000%	None	-inf%	None	0
	
SECTOR	2013	0.000%	None	-inf%	None	0
	
SECTOR	2014	0.000%	None	-inf%	None	0
	
SECTOR	2015	0.000%	None	-inf%	None	0
	
SECTOR	2016	0.000%	None	-inf%	None	0
	
SECTOR	2017	0.000%	None	-inf%	None	0
	
SECTOR	2018	0.000%	None	-inf%	None	0
	
TECHNOLOGY	2009	59.130%	NLST	1574.194%	AAPL	35813421700.0
	
TECHNOLOGY	2010	24.139%	MITK	646.914%	AAPL	37756231800.0
	
TECHNOLOGY	2011	-14.225%	EGAN	475.833%	AAPL	31014834900.0
	
TECHNOLOGY	2012	22.608%	ELLI	401.808%	AAPL	32991051100.0
	
TECHNOLOGY	2013	56.197%	CSIQ	777.059%	AAPL	25605392400.0
	
TECHNOLOGY	2014	11.517%	MOMO	1614.286%	AAPL	15914488100.0
	
TECHNOLOGY	2015	0.206%	NPTN	229.091%	AAPL	13063147500.0
	
TECHNOLOGY	2016	12.428%	LN	113266.664%	AAPL	9680553200.0
	
TECHNOLOGY	2017	30.643%	SEII	1066.154%	AMD	16353947600.0
	
TECHNOLOGY	2018	16.336%	HMI	43300.001%	AMD	10541338800.0
	
TRANSPORTATION	2009	-58.733%	ATSG	751.613%	CSX	4727894400.0
	
TRANSPORTATION	2010	-29.182%	GSL	241.379%	CSX	3110239200.0
	
TRANSPORTATION	2011	-69.385%	KSU	39.881%	DAL	3843457600.0
	
TRANSPORTATION	2012	-20.738%	AAL	163.672%	DAL	2967096400.0
	
TRANSPORTATION	2013	68.363%	USAK	283.381%	DAL	3462896200.0
	
TRANSPORTATION	2014	-17.638%	CVTI	240.578%	DAL	3260278200.0
	
TRANSPORTATION	2015	-23.788%	VLRS	94.337%	AAL	2909890700.0
	
TRANSPORTATION	2016	1084.707%	GLBS	2620.000%	DAL	2595749200.0
	
TRANSPORTATION	2017	-87.903%	GOL	192.000%	CSX	2171767600.0
	
